Today's Date:	08 March 2012	Date of Test:	28 February 2012, 12:45:41 AM
Filename:	MB_U01_TAS5_DVendor_Profile_Try4	Tester Channel:	20
Procedure:	MB_TAS5_DVendor_Profile.000	Description:	Z22FH Quick Test
Comment:	Vendor #1
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.53414	R	0	02/28/2012 12:45:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.49775	R	129	02/28/2012 12:46:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00007	3.49744	D	0	02/28/2012 12:46:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:01:0.409999996423721	  0d 00:00:0.409999996423721	0.00000	0.00000	0.00375	2.60517	D	133	02/28/2012 12:46:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:01:0.419999986886978	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	0	02/28/2012 12:46:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:02:0.419999986886978	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:47:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:03:0.419999986886978	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:48:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:04:0.419999986886978	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:49:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:05:0.419999986886978	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:50:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:06:0.419999986886978	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:51:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:07:0.419999986886978	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:52:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:08:0.419999986886978	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 12:53:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	5	  0d 00:09:0.419999986886978	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	0.32906	R	1	02/28/2012 12:54:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	5	  0d 00:10:0.419999986886978	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	0.50721	R	1	02/28/2012 12:55:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	5	  0d 00:11:0.409999996423721	  0d 00:10:0	0.00000	0.00000	0.00000	0.73548	R	129	02/28/2012 12:56:41 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	6	  0d 00:11:0.439999997615814	  0d 00:00:0.0299999993294477	0.00000	0.00000	0.00000	5.00000	C	0	02/28/2012 12:56:42 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	6	  0d 00:11:0.439999997615814	  0d 00:00:0.0299999993294477	0.00000	0.00000	0.00000	5.00000	C	133	02/28/2012 12:56:42 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	7	  0d 00:11:0.46000000834465	  0d 00:00:0.0199999995529652	0.00000	0.00000	0.00000	5.00000	C	0	02/28/2012 12:56:42 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	7	  0d 00:11:1.46000003814697	  0d 00:00:1.01999998092651	0.00000	0.00000	0.00000	5.00000	C	132	02/28/2012 12:56:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	8	  0d 00:11:1.47000002861023	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	0	02/28/2012 12:56:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	8	  0d 00:12:1.47000002861023	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 12:57:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	8	  0d 00:13:1.47000002861023	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 12:58:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	8	  0d 00:14:1.47000002861023	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	3.64225	R	1	02/28/2012 12:59:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	8	  0d 00:15:1.47000002861023	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	3.55978	R	1	02/28/2012 1:00:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	8	  0d 00:16:1.47000002861023	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	3.59434	R	1	02/28/2012 1:01:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	8	  0d 00:17:1.47000002861023	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	3.49760	R	1	02/28/2012 1:02:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	8	  0d 00:18:1.47000002861023	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	3.49767	R	1	02/28/2012 1:03:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	8	  0d 00:19:1.47000002861023	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	3.49752	R	1	02/28/2012 1:04:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	8	  0d 00:20:1.47000002861023	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	3.49767	R	1	02/28/2012 1:05:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	8	  0d 00:21:1.46000003814697	  0d 00:10:0	0.00000	0.00000	0.00000	3.49760	R	129	02/28/2012 1:06:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
31	2	4	  0d 00:21:1.46000003814697	  0d 00:00:0	0.00000	0.00000	0.00000	0.51781	D	133	02/28/2012 1:06:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
32	2	5	  0d 00:21:1.47000002861023	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	0.51682	R	0	02/28/2012 1:06:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
33	2	5	  0d 00:22:1.47000002861023	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	0.51019	R	1	02/28/2012 1:07:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
34	2	5	  0d 00:23:1.47000002861023	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	0.96757	R	1	02/28/2012 1:08:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
35	2	5	  0d 00:24:1.47000002861023	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	3.41604	R	1	02/28/2012 1:09:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
36	2	5	  0d 00:25:1.47000002861023	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	3.29435	R	1	02/28/2012 1:10:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
37	2	5	  0d 00:26:1.47000002861023	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	3.36683	R	1	02/28/2012 1:11:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
38	2	5	  0d 00:27:1.47000002861023	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	3.25231	R	1	02/28/2012 1:12:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
39	2	5	  0d 00:28:1.47000002861023	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	3.42840	R	1	02/28/2012 1:13:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
40	2	5	  0d 00:29:1.47000002861023	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	3.49805	R	1	02/28/2012 1:14:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
41	2	5	  0d 00:30:1.47000002861023	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	3.49813	R	1	02/28/2012 1:15:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
42	2	5	  0d 00:31:1.46000003814697	  0d 00:10:0	0.00000	0.00000	0.00000	3.49805	R	129	02/28/2012 1:16:43 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
43	2	6	  0d 00:31:1.53999996185303	  0d 00:00:0.0799999982118607	0.00000	0.00000	0.00015	3.49828	C	0	02/28/2012 1:16:44 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
44	2	6	  0d 00:31:1.8400000333786	  0d 00:00:0.379999995231628	0.00000	0.00000	0.00250	4.25917	C	133	02/28/2012 1:16:44 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
45	2	7	  0d 00:31:1.86000001430511	  0d 00:00:0.0199999995529652	0.00000	0.00000	0.00000	5.00000	C	0	02/28/2012 1:16:44 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
46	2	7	  0d 00:31:2.85999989509583	  0d 00:00:1.01999998092651	0.00000	0.00000	0.00000	5.00000	C	132	02/28/2012 1:16:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
47	2	8	  0d 00:31:2.86999988555908	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	0	02/28/2012 1:16:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
48	2	8	  0d 00:32:2.86999988555908	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:17:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
49	2	8	  0d 00:33:2.86999988555908	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:18:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
50	2	8	  0d 00:34:2.86999988555908	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:19:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
51	2	8	  0d 00:35:2.86999988555908	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:20:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
52	2	8	  0d 00:36:2.86999988555908	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:21:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
53	2	8	  0d 00:37:2.86999988555908	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:22:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
54	2	8	  0d 00:38:2.86999988555908	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:23:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
55	2	8	  0d 00:39:2.86999988555908	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:24:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
56	2	8	  0d 00:40:2.86999988555908	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:25:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57	2	8	  0d 00:41:2.85999989509583	  0d 00:10:0	0.00000	0.00000	0.00000	5.00000	R	129	02/28/2012 1:26:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
58	3	4	  0d 00:41:2.85999989509583	  0d 00:00:0	0.00000	0.00000	0.00000	0.00000	D	133	02/28/2012 1:26:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
59	3	5	  0d 00:41:2.86999988555908	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	0	02/28/2012 1:26:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
60	3	5	  0d 00:42:2.86999988555908	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:27:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
61	3	5	  0d 00:43:2.86999988555908	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:28:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
62	3	5	  0d 00:44:2.86999988555908	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:29:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
63	3	5	  0d 00:45:2.86999988555908	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:30:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
64	3	5	  0d 00:46:2.86999988555908	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:31:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
65	3	5	  0d 00:47:2.86999988555908	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	0.00000	R	1	02/28/2012 1:32:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
66	3	5	  0d 00:48:2.86999988555908	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	3.35203	R	1	02/28/2012 1:33:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
67	3	5	  0d 00:49:2.86999988555908	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	3.49790	R	1	02/28/2012 1:34:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
68	3	5	  0d 00:50:2.86999988555908	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	3.49805	R	1	02/28/2012 1:35:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
69	3	5	  0d 00:51:2.85999989509583	  0d 00:10:0	0.00000	0.00000	0.00000	3.49714	R	129	02/28/2012 1:36:45 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
70	3	6	  0d 00:51:2.94000005722046	  0d 00:00:0.0799999982118607	0.00000	0.00000	0.00015	3.49844	C	0	02/28/2012 1:36:46 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
71	3	6	  0d 00:51:3.24000000953674	  0d 00:00:0.379999995231628	0.00000	0.00000	0.00251	4.26497	C	133	02/28/2012 1:36:46 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
72	3	7	  0d 00:51:3.25999999046326	  0d 00:00:0.0199999995529652	0.00000	0.00000	0.00000	5.00000	C	0	02/28/2012 1:36:46 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
73	3	7	  0d 00:51:4.26000022888184	  0d 00:00:1.01999998092651	0.00000	0.00000	0.00000	5.00000	C	132	02/28/2012 1:36:47 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
74	3	8	  0d 00:51:4.26999998092651	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	0	02/28/2012 1:36:47 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
75	3	8	  0d 00:52:4.26999998092651	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:37:47 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
76	3	8	  0d 00:53:4.26999998092651	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:38:47 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
77	3	8	  0d 00:54:4.26999998092651	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	5.00000	R	1	02/28/2012 1:39:47 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
