Today's Date:	08 March 2012	Date of Test:	27 February 2012, 11:09:23 PM
Filename:	MB_U02_TAS5_DG23_FW16_Charge_Profile_1	Tester Channel:	18
Procedure:	MB_TAS5_DG23_FW16_Charge Profile.000	Description:	Charger Internal Battery FW 16.0 Profile
Comment:	Baseline
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	4.03944	R	0	02/27/2012 11:09:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	4.05142	R	129	02/27/2012 11:10:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00014	4.05135	D	0	02/27/2012 11:10:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:02:0.0500000007450581	  0d 00:01:0.0500000007450581	0.00398	0.01556	0.24010	3.89799	D	1	02/27/2012 11:11:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	4	  0d 00:03:0.0500000007450581	  0d 00:02:0.0500000007450581	0.00798	0.03112	0.24018	3.87953	D	1	02/27/2012 11:12:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	4	  0d 00:04:0.0500000007450581	  0d 00:03:0.0500000007450581	0.01198	0.04661	0.24002	3.86580	D	1	02/27/2012 11:13:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	4	  0d 00:05:0.0500000007450581	  0d 00:04:0.0500000007450581	0.01598	0.06205	0.23995	3.85351	D	1	02/27/2012 11:14:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	4	  0d 00:06:0.0500000007450581	  0d 00:05:0.0500000007450581	0.01998	0.07744	0.24010	3.84207	D	1	02/27/2012 11:15:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	4	  0d 00:07:0.0500000007450581	  0d 00:06:0.0500000007450581	0.02398	0.09278	0.24018	3.83085	D	1	02/27/2012 11:16:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	4	  0d 00:08:0.0500000007450581	  0d 00:07:0.0500000007450581	0.02798	0.10808	0.23987	3.82002	D	1	02/27/2012 11:17:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	4	  0d 00:09:0.0500000007450581	  0d 00:08:0.0500000007450581	0.03198	0.12334	0.24002	3.80964	D	1	02/27/2012 11:18:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	4	  0d 00:10:0.0500000007450581	  0d 00:09:0.0500000007450581	0.03598	0.13856	0.24002	3.80148	D	1	02/27/2012 11:19:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	4	  0d 00:11:0.0500000007450581	  0d 00:10:0.0500000007450581	0.03998	0.15375	0.24002	3.79431	D	1	02/27/2012 11:20:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	4	  0d 00:12:0.0500000007450581	  0d 00:11:0.0500000007450581	0.04398	0.16891	0.23995	3.78767	D	1	02/27/2012 11:21:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	4	  0d 00:13:0.0500000007450581	  0d 00:12:0.0500000007450581	0.04798	0.18405	0.24010	3.77836	D	1	02/27/2012 11:22:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	4	  0d 00:14:0.0500000007450581	  0d 00:13:0.0500000007450581	0.05198	0.19914	0.23987	3.76928	D	1	02/27/2012 11:23:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	4	  0d 00:15:0.0500000007450581	  0d 00:14:0.0500000007450581	0.05598	0.21420	0.23995	3.76028	D	1	02/27/2012 11:24:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	4	  0d 00:16:0.0500000007450581	  0d 00:15:0.0500000007450581	0.05998	0.22922	0.24002	3.75128	D	1	02/27/2012 11:25:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	4	  0d 00:17:0.0500000007450581	  0d 00:16:0.0500000007450581	0.06398	0.24421	0.23987	3.74197	D	1	02/27/2012 11:26:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	4	  0d 00:18:0.0500000007450581	  0d 00:17:0.0500000007450581	0.06798	0.25916	0.23995	3.73274	D	1	02/27/2012 11:27:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	4	  0d 00:19:0.0500000007450581	  0d 00:18:0.0500000007450581	0.07197	0.27407	0.24002	3.72335	D	1	02/27/2012 11:28:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	4	  0d 00:20:0.0500000007450581	  0d 00:19:0.0500000007450581	0.07597	0.28895	0.24018	3.71412	D	1	02/27/2012 11:29:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	4	  0d 00:21:0.0500000007450581	  0d 00:20:0.0500000007450581	0.07997	0.30378	0.24010	3.70512	D	1	02/27/2012 11:30:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	4	  0d 00:22:0.0500000007450581	  0d 00:21:0.0500000007450581	0.08397	0.31859	0.23995	3.69650	D	1	02/27/2012 11:31:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	4	  0d 00:23:0.0500000007450581	  0d 00:22:0.0500000007450581	0.08797	0.33336	0.23987	3.68795	D	1	02/27/2012 11:32:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	4	  0d 00:24:0.0500000007450581	  0d 00:23:0.0500000007450581	0.09197	0.34809	0.24002	3.67926	D	1	02/27/2012 11:33:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	4	  0d 00:25:0.0500000007450581	  0d 00:24:0.0500000007450581	0.09597	0.36279	0.23995	3.67102	D	1	02/27/2012 11:34:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	4	  0d 00:26:0.0500000007450581	  0d 00:25:0.0500000007450581	0.09997	0.37746	0.24010	3.66262	D	1	02/27/2012 11:35:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	4	  0d 00:27:0.0500000007450581	  0d 00:26:0.0500000007450581	0.10397	0.39209	0.23995	3.65423	D	1	02/27/2012 11:36:23 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
