Today's Date:	16 March 2012	Date of Test:	9 March 2012, 11:52:19 PM
Filename:	MB_U03_DG23_FW16-Charge-Profile-New-UUT	Tester Channel:	24
Procedure:	MB_TAS5_DG23_FW16_Charge Profile.000	Description:	Charger Internal Battery FW 16.0 Profile
Comment:	Previous unit gave odd result
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.56107	R	0	03/09/2012 11:52:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.56573	R	129	03/09/2012 11:53:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0199999995529652	  0d 00:00:0.0199999995529652	0.00000	0.00000	0.00002	3.56580	D	0	03/09/2012 11:53:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:02:0.0199999995529652	  0d 00:01:0.0199999995529652	0.00397	0.01358	0.24010	3.40688	D	1	03/09/2012 11:54:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	4	  0d 00:03:0.0199999995529652	  0d 00:02:0.0199999995529652	0.00797	0.02718	0.24018	3.39147	D	1	03/09/2012 11:55:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	4	  0d 00:04:0.0199999995529652	  0d 00:03:0.0199999995529652	0.01197	0.04072	0.24010	3.37934	D	1	03/09/2012 11:56:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	4	  0d 00:05:0.0199999995529652	  0d 00:04:0.0199999995529652	0.01597	0.05421	0.24010	3.36790	D	1	03/09/2012 11:57:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	4	  0d 00:06:0.0199999995529652	  0d 00:05:0.0199999995529652	0.01997	0.06766	0.23995	3.35683	D	1	03/09/2012 11:58:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	4	  0d 00:07:0.0199999995529652	  0d 00:06:0.0199999995529652	0.02397	0.08107	0.23995	3.34554	D	1	03/09/2012 11:59:19 PM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	4	  0d 00:08:0.0199999995529652	  0d 00:07:0.0199999995529652	0.02797	0.09443	0.24010	3.33410	D	1	03/10/2012 12:00:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	4	  0d 00:09:0.0199999995529652	  0d 00:08:0.0199999995529652	0.03197	0.10774	0.23995	3.32273	D	1	03/10/2012 12:01:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	4	  0d 00:10:0.0199999995529652	  0d 00:09:0.0199999995529652	0.03597	0.12101	0.24002	3.31106	D	1	03/10/2012 12:02:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	4	  0d 00:11:0.0199999995529652	  0d 00:10:0.0199999995529652	0.03997	0.13423	0.24002	3.29847	D	1	03/10/2012 12:03:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	4	  0d 00:12:0.0199999995529652	  0d 00:11:0.0199999995529652	0.04397	0.14739	0.23987	3.28481	D	1	03/10/2012 12:04:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	4	  0d 00:13:0.0199999995529652	  0d 00:12:0.0199999995529652	0.04797	0.16050	0.23995	3.26963	D	1	03/10/2012 12:05:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	4	  0d 00:14:0.0199999995529652	  0d 00:13:0.0199999995529652	0.05197	0.17354	0.23987	3.25162	D	1	03/10/2012 12:06:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	4	  0d 00:15:0.0199999995529652	  0d 00:14:0.0199999995529652	0.05597	0.18651	0.24002	3.22911	D	1	03/10/2012 12:07:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	4	  0d 00:16:0.0199999995529652	  0d 00:15:0.0199999995529652	0.05997	0.19937	0.23987	3.20157	D	1	03/10/2012 12:08:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	4	  0d 00:17:0.0199999995529652	  0d 00:16:0.0199999995529652	0.06397	0.21211	0.24010	3.16541	D	1	03/10/2012 12:09:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	4	  0d 00:18:0.0199999995529652	  0d 00:17:0.0199999995529652	0.06797	0.22467	0.24010	3.11307	D	1	03/10/2012 12:10:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	4	  0d 00:19:0.0199999995529652	  0d 00:18:0.0199999995529652	0.07197	0.23697	0.24002	3.02815	D	1	03/10/2012 12:11:19 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	4	  0d 00:19:14.3599996566772	  0d 00:18:14.3599996566772	0.07292	0.23985	0.24018	3.00000	D	133	03/10/2012 12:11:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	5	  0d 00:19:14.3699998855591	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	3.09377	R	0	03/10/2012 12:11:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	5	  0d 00:20:14.3699998855591	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	3.40291	R	1	03/10/2012 12:12:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	5	  0d 00:21:14.3699998855591	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	3.42283	R	1	03/10/2012 12:13:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
