Today's Date:	08 March 2012	Date of Test:	28 February 2012, 12:04:39 AM
Filename:	MB_U04_TAS5_DG23_Long_Turbo_Try2	Tester Channel:	22
Procedure:	MB_TAS5_DG23_Long_Turbo.000	Description:	Charger Internal Battery Long Turbo
Comment:	Long Turbo
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.78439	R	0	02/28/2012 12:04:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.78851	R	129	02/28/2012 12:05:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00011	3.78851	D	0	02/28/2012 12:05:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:02:0.0500000007450581	  0d 00:01:0.0500000007450581	0.00397	0.01429	0.23995	3.58114	D	1	02/28/2012 12:06:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	4	  0d 00:03:0.0500000007450581	  0d 00:02:0.0500000007450581	0.00797	0.02859	0.23987	3.56649	D	1	02/28/2012 12:07:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	4	  0d 00:04:0.0500000007450581	  0d 00:03:0.0500000007450581	0.01197	0.04283	0.24002	3.55657	D	1	02/28/2012 12:08:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	4	  0d 00:05:0.0500000007450581	  0d 00:04:0.0500000007450581	0.01597	0.05704	0.24002	3.54841	D	1	02/28/2012 12:09:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	4	  0d 00:06:0.0500000007450581	  0d 00:05:0.0500000007450581	0.01997	0.07122	0.24002	3.54093	D	1	02/28/2012 12:10:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	4	  0d 00:06:59.3499984741211	  0d 00:05:59.3499984741211	0.02393	0.08520	0.23980	2.64920	D	133	02/28/2012 12:11:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:06:59.3600006103516	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	0.22332	R	0	02/28/2012 12:11:39 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
