Today's Date:	08 March 2012	Date of Test:	28 February 2012, 12:37:31 AM
Filename:	MB_U06_TAS5_DG23_Long_Turbo_High_Float_Try2	Tester Channel:	19
Procedure:	MB_TAS5_DG23_Long_Turbo_High_Float.000	Description:	Charger Internal Battery Long Turbo High Float
Comment:	High Float #1
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.10948	R	0	02/28/2012 12:37:31 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.12909	R	129	02/28/2012 12:38:31 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00003	3.12894	D	0	02/28/2012 12:38:31 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:01:1.08000004291534	  0d 00:00:1.08000004291534	0.00001	0.00004	0.19562	2.98741	D	133	02/28/2012 12:38:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:01:1.0900000333786	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	3.06493	R	0	02/28/2012 12:38:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:02:1.0900000333786	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	3.12833	R	1	02/28/2012 12:39:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:03:1.0900000333786	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	3.12856	R	1	02/28/2012 12:40:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:04:1.0900000333786	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	3.12871	R	1	02/28/2012 12:41:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:05:1.0900000333786	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	3.12879	R	1	02/28/2012 12:42:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:06:1.0900000333786	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	3.12894	R	1	02/28/2012 12:43:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:07:1.0900000333786	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	3.12902	R	1	02/28/2012 12:44:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:08:1.0900000333786	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	3.12917	R	1	02/28/2012 12:45:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	5	  0d 00:09:1.0900000333786	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	3.12932	R	1	02/28/2012 12:46:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	5	  0d 00:10:1.0900000333786	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	3.12932	R	1	02/28/2012 12:47:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	5	  0d 00:11:1.08000004291534	  0d 00:10:0	0.00000	0.00000	0.00000	3.12924	R	129	02/28/2012 12:48:32 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
16	1	6	  0d 00:11:1.13999998569489	  0d 00:00:0.0599999986588955	0.00000	0.00000	0.00015	3.12917	C	0	02/28/2012 12:48:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
17	1	6	  0d 00:12:1.13999998569489	  0d 00:01:0.0599999986588955	0.01324	0.05127	0.79995	3.96574	C	1	02/28/2012 12:49:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
18	1	6	  0d 00:13:1.13999998569489	  0d 00:02:0.0599999986588955	0.02658	0.10460	0.79995	4.01953	C	1	02/28/2012 12:50:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
19	1	6	  0d 00:14:1.13999998569489	  0d 00:03:0.0599999986588955	0.03991	0.15830	0.79973	4.03288	C	1	02/28/2012 12:51:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
20	1	6	  0d 00:15:1.13999998569489	  0d 00:04:0.0599999986588955	0.05324	0.21212	0.80011	4.03883	C	1	02/28/2012 12:52:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
21	1	6	  0d 00:16:1.13999998569489	  0d 00:05:0.0599999986588955	0.06658	0.26599	0.80018	4.04067	C	1	02/28/2012 12:53:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
22	1	6	  0d 00:17:1.13999998569489	  0d 00:06:0.0599999986588955	0.07991	0.31986	0.79995	4.03929	C	1	02/28/2012 12:54:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
23	1	6	  0d 00:18:1.13999998569489	  0d 00:07:0.0599999986588955	0.09324	0.37370	0.80018	4.03723	C	1	02/28/2012 12:55:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
24	1	6	  0d 00:19:1.13999998569489	  0d 00:08:0.0599999986588955	0.10658	0.42752	0.79988	4.03510	C	1	02/28/2012 12:56:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
25	1	6	  0d 00:20:1.08000004291534	  0d 00:09:0	0.11990	0.48126	0.80003	4.03426	C	129	02/28/2012 12:57:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
26	1	7	  0d 00:20:1.11000001430511	  0d 00:00:0.0299999993294477	0.00000	0.00001	0.24994	3.84977	C	0	02/28/2012 12:57:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
27	1	7	  0d 00:21:1.11000001430511	  0d 00:01:0.0299999993294477	0.00417	0.01586	0.25002	3.79324	C	1	02/28/2012 12:58:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
28	1	7	  0d 00:22:1.11000001430511	  0d 00:02:0.0299999993294477	0.00833	0.03165	0.24979	3.78691	C	1	02/28/2012 12:59:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
29	1	7	  0d 00:23:1.11000001430511	  0d 00:03:0.0299999993294477	0.01250	0.04743	0.25010	3.78424	C	1	02/28/2012 1:00:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
30	1	7	  0d 00:24:1.11000001430511	  0d 00:04:0.0299999993294477	0.01667	0.06319	0.24994	3.78332	C	1	02/28/2012 1:01:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
31	1	7	  0d 00:25:1.11000001430511	  0d 00:05:0.0299999993294477	0.02083	0.07895	0.24979	3.78355	C	1	02/28/2012 1:02:33 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
