Today's Date:	08 March 2012	Date of Test:	28 February 2012, 12:55:53 AM
Filename:	MB_U07_DG23_Long_Turbo_High_Float_Unit2_Try2	Tester Channel:	17
Procedure:	MB_TAS5_DG23_Long_Turbo_High_Float.000	Description:	Charger Internal Battery Long Turbo High Float
Comment:	High Float #2
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.28595	R	0	02/28/2012 12:55:53 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.28656	R	129	02/28/2012 12:56:53 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0.0500000007450581	  0d 00:00:0.0500000007450581	0.00000	0.00000	0.00005	3.28656	D	0	02/28/2012 12:56:53 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	4	  0d 00:01:2.57999992370605	  0d 00:00:2.57999992370605	0.00013	0.00040	0.23995	3.00000	D	133	02/28/2012 12:56:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:01:2.58999991416931	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	3.08415	R	0	02/28/2012 12:56:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:02:2.58999991416931	  0d 00:01:0.00999999977648258	0.00000	0.00000	0.00000	3.28237	R	1	02/28/2012 12:57:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:03:2.58999991416931	  0d 00:02:0.00999999977648258	0.00000	0.00000	0.00000	3.28374	R	1	02/28/2012 12:58:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:04:2.58999991416931	  0d 00:03:0.00999999977648258	0.00000	0.00000	0.00000	3.28397	R	1	02/28/2012 12:59:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:05:2.58999991416931	  0d 00:04:0.00999999977648258	0.00000	0.00000	0.00000	3.28428	R	1	02/28/2012 1:00:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:06:2.58999991416931	  0d 00:05:0.00999999977648258	0.00000	0.00000	0.00000	3.28458	R	1	02/28/2012 1:01:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:07:2.58999991416931	  0d 00:06:0.00999999977648258	0.00000	0.00000	0.00000	3.28458	R	1	02/28/2012 1:02:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:08:2.58999991416931	  0d 00:07:0.00999999977648258	0.00000	0.00000	0.00000	3.28481	R	1	02/28/2012 1:03:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	5	  0d 00:09:2.58999991416931	  0d 00:08:0.00999999977648258	0.00000	0.00000	0.00000	3.28496	R	1	02/28/2012 1:04:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
14	1	5	  0d 00:10:2.58999991416931	  0d 00:09:0.00999999977648258	0.00000	0.00000	0.00000	3.28496	R	1	02/28/2012 1:05:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
15	1	5	  0d 00:11:2.57999992370605	  0d 00:10:0	0.00000	0.00000	0.00000	3.28504	R	129	02/28/2012 1:06:55 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
